Name,Cost,Lots,Economy,Loyalty,Stability,Unrest,Fame,Defense,Corruption,Crime,Law,Lore,Productivity,Society,Base Value,Limit,Discount,Upgrade From,Upgrade To,Special,Description
Alchemy,52,2,2,2,,,,,,,,2,1,2,,,"Caster's Tower, Library, Magic Shop",Library,University,,An institution of higher learning.
Alchemist,18,1,1,,,,,,,,,,,,1000,Adjacent to 1 House,,,,,"The laboratory and home of a crafter of poisons, potions, or alchemical items."
Arena,40,4,,,4,,1,,,1,,,,,,1 per Settlement,"Brothel, Garrison, Inn, Stable, Theater",Theater,,,A large public structure for competitions and team sports.
Bank,28,1,4,,,,,,,,,,,,2000,,,,,,A secure building for storing valuables and granting loans.
Bardic College,40,2,1,3,1,,1,,,,,,,,,,"Library, Museum, Theater",,,,A center for artistic learning. Education in a Bardic College also includes research into a wide-range of historical topics.
Barracks,6,1,,,,-1,,2,,,1,,,,,,Garrison,,,,"A building to house conscripts, guards, militia, soldiers, or similar military forces."
Black Market,50,1,2,,1,1,,,2,2,,,,,2000,Adjacent to 2 Houses,Brothel,,,,A number of shops with secret and usually illegal wares.
Brewery,6,1,,1,1,,,,,,,,,,,,,,,,"A building for beer brewing, winemaking, or some similar use."
Bridge,6,1,1,,,,,,,,,,,,,,,,,Shares the space with a river or Waterwaylot,"Allows travel across a river or Waterway, easing transportation"
Bureau,10,2,1,1,1,,,,1,1,,,,,,,,,,,A large warren of offices for clerks and record-keepers working for a guild or government.
Casters Tower,30,1,1,1,,,,,,,,,,,,,,,,,The home and laboratory for a spellcaster.
Castle,54,4,2,2,2,-4,1,8,,,,,,,,1 Per settlement,"Noble Villa, Town Hall",,,,The home of the settlement's leader or the heart of its defenses.
Cathedral,58,4,,4,4,-4,1,,,,,,,,,1 Per settlement,"Academy, Temple",,,Halves Consumption increase for Promotion Edicts,The focal point of the settlement's spiritual leadership.
Cistern,6,1,,,1,,,,,,,,,,,"Cannot be adjacent to a Dump, Graveyard, Stable, Stockyard, or Tannery",,,,Can share lot with another building,Contains a safe supply of fresh water for the settlement.
City Wall,2,,,,,-2,,1,,,,,,,,,,,, Land district border,A fortification of one side of a district with a sturdy wall. The GM may allow for cliffs and other natural features to function as a City Wall for one or more sides of a district. You may construct gates through your own city wall at no cost.
Dance Hall,4,1,1,2,,1,,,1,1,,,,,,Adjacent to 1 House,,,,,"An establishment for dancing, drinking, carousing, and holding celebrations."
Dump,4,1,,,1,,,,,,,,,,,"Cannot be adjacent to House, Mansion, or Noble Villa",,,,,A centralized place to dispose of refuse.
Everflowing Spring,5,,,,,,,,,,,,,,,,,,,"Can share lot with Castle, Cathedral, Market, Monument, Park, or Town Hall",A fountain built around several decanters of endless water that provides an inexhaustible supply of fresh water.
Exotic Artisan,10,1,1,,1,,,,,,,,,,,Adjacent to 1 House,,,,,"The shop and home of a jeweler, tinker, glassblower, or the like."
Foreign Quarter,30,4,3,,-1,,,,,1,,1,,2,,,,,,Increase the value of trade routes (see Trade Edicts) by 5% (maximum 100%),"An area with many foreigners, as well as shops and services catering to them."
Foundry,16,2,1,,1,1,,,,,,,1,,,,Smithy,Adjacemt to Water,,Increase the Economy and BP earned per turn by 1 for 1 Mine connected to this settlement by a river or Road,Processes ore and refines it into finished metal.
Garrison,28,2,,2,2,-2,,,,,,,,,,,"City Wall, Granary, Jail",Barracks,,,"A large building to house armies, train guards, and recruit militia."
Granary,12,1,,1,1,,,,,,,,,,,,,,," If Farms reduce Consumption below 0, store up to 5 BP of excess production for use on a later turn when Consumption exceeds the Treasury",A place to store grain and food.
Graveyard,4,1,,1,,,,,,,,,,,,,,,,,A plot of land to honor and bury the dead.
Guildhall,34,2,2,2,,,,,,,1,,2,,1000,,"Pier, Stable, Trade Shop",Trade Shop,,,The headquarters for a guild or similar organization.
Herbalist,10,1,,1,1,,,,,,,,,,,Adjacent to 1 House,,,,,"The workshop and home of a gardener, healer, or poisoner."
Hospital,30,2,,1,2,,,,,,,1,2,,,,,,,Increase Stability by 2 during plague events,A building devoted to healing the sick.
House,3,1,,,,-1,,,,,,,,,,,,Tenement,,The first House you build during the Improvement phase does not count against the total number of buildings you can build during the phase,A number of mid-sized houses for citizens.
Inn,10,1,1,1,,,,,,,,,,1,500,Adjacent to 1 House,,,,,A place for visitors to rest.
Jail,14,1,,2,2,-2,,,,-1,1,,,,,,,,,,A fortified structure for confining criminals or dangerous monsters.
Library,6,1,1,1,,,,,,,,1,,,,,,,Academy,,A large building containing an archive of books.
Luxury Store,28,1,1,,,,,,,,,,,,2000,Adjacent to 1 House,,Shop,Magic Shop,,A shop that specializes in expensive comforts for the wealthy.
Magic Shop ,68,1,1,,,,,,,,,,,,2000,Adjacent to 2 Houses,,, Luxury Store,,A shop that specializes in magic items and spells.
Magical Academy,58,2,2,,,,1,,,,,2,,1,,,"Caster's Tower, Library, Magic Shop",,,,"An institution for training students in spellcasting, magic item crafting, and various arcane arts."
Magical Streetlamps,5,,,,,,,,,-1,,,,,,"Settlement must have a Cathedral, Magic Shop, Magical Academy, or Temple",,,,Can share a lot with any building or improvement,Continual flame lamps that illuminate the lot.
Mansion,10,1,,,1,,,,,,1,,,1,,,,,Nobel Villa,,A single huge manor housing a rich family and its servants.
Market,48,2,2,,2,,,,,,,,,,2000,Adjacent to 2 Houses,"Black Market, Inn, Shop",Shop,,,An open area for traveling merchants and bargain hunters.
Menagerie,16,4,1,V,,,V,,,,,,,,,,,,,Increase Loyalty by 1/4 the CR of the highest-CR creature in the Menagerie,A large park stocked with exotic creatures for public viewing.
Military Academy,36,2,,2,1,,1,,,,1,1,,,,1 per Settlement,Barracks,,,Armies and commanders recruited at the settlement gain one bonus tactic (see Army Tactics),An institution dedicated to the study of war and the training of elite soldiers and officers.
Mill,6,1,1,,1,,,,,,,,1,,,Adjacent to Water,,,,"With GM approval, you can construct a windmill at the same cost without the water district border requirement",A building used to cut lumber or grind grain.
Millpind,3,,,1,,,,,,,,,,,,Placed on River,,,,,"A millpond is a body of water formed by damming a small river or stream, which provides power for a mill. It often doubles as a fishing lake. A millpond functions as a water border for mills."
Mint,30,1,3,3,1,,1,,,,,,,,,,,,,,A secure building where the kingdom's coinage is minted and standard weights and measures are kept.
Moat,2,,,,,-1,,1,,,,,,,,Land Border,,,,Cannot be damaged by siege engines,"A fortification of one side of a district with an open or water-filled ditch, often backed by a low dike or embankment. The GM may allow a river or similar natural feature to function as a moat for one or more sides of a district."
Monastery,16,2,,,1,,,,,,1,1,,,,,,,,,"A cloister for meditation, study, and the pursuit of various other scholarly paths."
Monument,6,1,,1,,-1,,,,,,,,,,,,,,,"A local memorial such as a bell tower, a statue of a settlement founder, a large tomb, or a public display of art."
Museum,30,2,1,1,,,1,,,,,2,,1,,,,,,,"A place to display art and artifacts both modern and historical. The GM may allow the kingdom leaders to display a valuable item (such as a magic item or bejeweled statue) in the museum, increasing Fame during this display by 1 for every 10,000 gp of the item's price (maximum +5 Fame), and by an additional 1 if the item is significant to the kingdom's history."
Noble Villa,24,2,1,1,1,,1,,,,,,,1,,," Exotic Artisan, Luxury Store, Mansion",Mansion,,,A sprawling manor with luxurious grounds that houses a noble's family and staff.
Observatory,12,1,,,1,,,,,,,2,,,,,,,,,A dome or tower with optical devices for viewing the heavens.
Orphanage,6,1,,,1,-1,,,,,,,,,,,,,,,A place for housing and taking care of large numbers of orphans
Palace,108,4,2,6,2,,1,,,,,2,,,1000,,"Mansion, Mint, Noble Villa",,,"You may make two special edicts per turn, but take a –2 penalty on kingdom checks associated with each special edict","A grand edifice and walled grounds demonstrating one's wealth, power, and authority to the world."
Park,4,1,,1,,-2,,,,,,,,,,,,,,,A plot of land set aside for its serene beauty.
Paved Streets ,24,,2,,1,,,,,,,,2,,,1 per district,,,,,Brick or stone pavement that speeds transportation.
Pier,16,1,1,,1,,,,,1,,,,,1000,Adjacent to Water,Adjacent to Water,,Waterfront,,Warehouses and workshops for docking ships and handling cargo and passengers.
Sewer System,24,,,1,2,,,,,1,,,1,,,1 per district,"Cistern, Dump",,,,"An underground sanitation system that keeps the settlement clean, though it may become home to criminals and monsters."
Shop,8,1,1,,,,,,,,,,1,,500,Adjacent to 1 House,,,"Luxury Store, Market",,A general store.
Shrine,8,1,,1,,-1,,,,,,,,,,,,,Temple,,"A shrine, idol, sacred grove, or similar holy site designed for worship by pious individuals."
Smithy,6,1,1,,1,,,,,,,,,,,,,,,,"The workshop of an armorsmith, blacksmith, weaponsmith, or other craftsman who works with metal."
Stable,10,1,1,1,,,,,,,,,,,500,Adjacent to 1 House,,,,,A structure for housing or selling horses and other mounts.
Stockyard,20,4,1,,-1,,,,,,,,1,,,,"Stable, Tannery",,,Farms in this hex or adjacent hexes reduce Consumption by 3 instead of 2,Barns and pens that store herd animals and prepare them for nearby slaughterhouses.
Tannery,6,1,1,,1,,,,,,,,,-1,,Not adjacent to house,,,,,A structure that prepares hides and leather.
Tavern,12,1,1,1,,,,,1,,,,,,500,Adjacent to 1 House,,,,,An eating or drinking establishment.
Temple,32,2,,2,2,-2,,,,,,,,,,,"Graveyard, Monument, Shrine",Shrine,,,A large place of worship dedicated to a deity
Tenement,1,1,,,,2,,,,,,,,,,,,,House,Counts as House,A staggering number of low-rent housing units
Theater,24,2,2,,2,,,,,,,,,,,,"Brothel, Exotic Artisan, Inn, Park, Tavern",,Arena,,"A venue for entertainments such as plays, operas, and concerts."
Town Hall,22,2,1,1,1,,,,,,1,,,,,,"Barracks, Cistern, Dump, Jail, Watchtower",,,,"A public venue for town meetings, repository for town records, and offices for minor bureaucrats."
Trade Shop,10,1,1,,1,,,,,,,,1,,500,Adjacent to 1 House,,,Guildhall,,"A shop front for a tradesperson, such as a baker, butcher, candle maker, cobbler, rope maker, or wainwright."
University,78,4,3,3,,,1,,,,,,,,,," Academy, Bardic College, Library, Magical Academy, Military Academy, Museum",Academy,,,"An institution of higher learning, focusing mainly on mundane subjects but dabbling in magical theory."
Watchtower,12,1,,,1,-1,,2,,,,,,,,,,,,,A tall structure that serves as a guard post.
Watergate,2,,,,,,,,,,,,,,,,,,,,"A gate in a City Wall that allows water (such as a river, Aqueduct, or Waterway) to enter the settlement. a Watergate has underwater defenses to block unwanted access. If you construct a Watergate when you construct a City Wall, the Watergate does not count toward the limit of the number of buildings you can construct per turn."
Waterfront,90,4,4,,,,,,,,,,2,,4000,"Adjacent to water district border, 1 per settlement","Black Market, Guildhall, Market, Pier",Pier,,halves Loyalty penalty for Taxation edicts,"A port for waterborne arrival and departure, with facilities for shipping and shipbuilding."
Waterway,3,1,,,,,,,,,,,,,,,,,,Counts as water district border for adjacent buildings,"A river or canal occupying part of the District Grid. At the GM's option, a natural Waterway may already exist on the grid, requiring no action or BP to build. If you construct a City Wall that touches or crosses the Waterway, you must also build Watergates on the same turn."
Abandoned House,,,,,,-1,,,,1,,,,-1,,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
